Círculo,PS,PSD,BE,CDU,CDS-PP,PAN,Chega,IL,LIVRE,Aliança,RIR,PCTP/MRPP,PNR,MPT,NC,PURP,JPP,PDR,PPM,PTP,MAS,N,B,ABS,lug_2019,lug_2015
Açores,33472,25249,6661,2045,4014,2215,709,568,714,732,0,528,268,326,0,0,0,100,418,145,112,1363,3926,145389, 5,5
Aveiro,120839,118141,35068,10738,20045,10424,2600,3582,2409,2178,2750,1892,694,707,623,701,264,561,387,559,0,6375,10642, 293476,16,16
Beja,26161,8544,5833,14655,1480,1269,1313,279,397,252,0,865,200,169,118,0,0,101,95,73,0,1094,1371,58718,3,3
Braga,169468,158652,41331,18443,19127,11934,3177,3804,3179,2182,3469,2318,862,1000,1017,549,411,620,428,522,544,8029,14504,312603,19,19
Bragança,23215,25909,3833,1347,2831,831,533,271,270,309,360,313,172,0,137,184,0,121,75,101,0,1416,1306, 78007,3,3
Castelo Branco,38302,24674,10352,4451,3479,2231,1187,543,834,715,541,694,246,226,0,273,0,125,183,157,0,2232, 2250, 76380, 4,4
Coimbra,79590,54279,22808,11402,7103,5355,1836,1676,1926,2106,1154,1031,623,417,441,402,149,453,245,0,251,3814,6889,176145,9,9
Évora,28371,12937,6624,13980,2535,1446,1645,490,503,459,334,922,179,143,311,154,0,70,114,82,0,1047,1680,62670,3,3
Faro,63469,38516,21255,12180,6572,8238,3690,1424,1704,1310,1035,1513,729,740,733,499,0,359,408,356,0,3069,4900,204102,9,9
Guarda,28783,26343,5990,2295,3823,1223,1135,461,373,406,458,363,165,122,118,154,0,103,80,171,0,2057,2026,74886,3,4
Leiria,69482,74961,20925,9537,11905,6413,3321,2054,2053,2183,1653,1631,622,667,583,486,217,546,492,380,167,5152,8202,191433,10,10
Lisboa,404677,248937,106944,85789,48502,48536,22053,27166,22807,14036,4530,8923,4819,2783,2713,2101,0,1884,1958,1169,1236,16081,23702,819701,48,47
Madeira,43373,48231,6806,2702,7852,2361,911,922,480,630,1185,790,202,465,188,801,7125,443,180,1185,0,2292,697,128323,6,6
Portalegre,23013,10375,4166,5480,1961,856,1407,255,291,269,208,628,156,93,0,114,0,68,0,61,0,999,1200,45209,2,2
Porto,342496,291183,94553,44859,31181,32328,5708,14221,8952,4370,10545,5047,1948,1721,1656,1899,1074,1446,857,1395,522,15185,21233,660309,40,39
Santarém,76836,52141,21141,15662,9793,5364,4210,1605,1782,1698,1266,1432,834,471,814,498,0,605,468,265,0,4011,6022,173571,9,9
Setúbal,152433,56860,47863,62236,11703,17529,7643,4133,4874,2889,2107,3538,1771,1106,1025,1033,0,692,739,431,326,6038,8191,341523,18,18
Viana do Castelo,42392,41196,10320,4839,7576,2876,858,692,688,679,1058,671,292,209,259,212,587,281,204,208,0,2199,3617,119004,6,6
Vila Real,37306,39143,6078,2519,4510,1651,791,425,549,700,648,579,162,0,171,0,0,185,188,0,0,2397,2258,118827,5,5
Viseu,62833,64373,13956,4082,10462,3778,1721,974,875,1215,1336,900,326,256,332,363,118,457,356,239,0,3700,4995,170414,8,9
Em. Europa,      31362, 20254, 6106, 2712, 3179, 5296, 913, 874, 1166,558, 553, 1267, 810, 1012, 688, 672, 409, 797, 254, 493, 173, 26706, 1665, 787671, 2, 2
Em. Fora Europa, 10163, 16806, 1404, 520, 2141, 2357, 465, 1262, 346, 611, 169, 273, 1046, 319, 452, 396, 196, 1744, 302, 307, 0, 8625, 429, 520831, 2, 2